name;DESCRIPTION;
269.101.09;Tank No 02 - Lube Oil Storage (Cargo Compressor);
269.101.11;Tank - ME Lube Oil Sump No 01;
269.101.12;Tank - ME Lube Oil Sump No 02;
269.101.13;Tank - ME Lube Oil Sump No 03;
269.101.14;Tank - ME Lube Oil Sump No 04;
269.101.16;Tank - AE1 Lube Oil Sump;
269.101.17;Tank - AE2 Lube Oil Sump;
269.101.18;Tank - AE3 Lube Oil Sump;
269.101.21;Tank - ME Lube Oil Settling No 01;
269.101.22;Tank - ME Lube Oil Settling No 02;
269.101.24;Tank - ME Lube Oil Circulation;
269.101.26;Tank - Lube Oil Drain;
269.101.28;Tank - ME Lube Oil Service;
269.101.31;Tank - Stuffing Box Drain No 01;
269.101.32;Tank - Stuffing Box Drain No 02;
269.101.36;Tank - AE Lube Oil Overflow;
269.101.38;Tank - Lube Oil Service No 01 (Reliquefaction Plant);
269.101.39;Tank - Lube Oil Service No 02 (Reliquefaction Plant);
269.101.41;Tank - Stern Tube Lube Oil;
269.101.42;Tank - Stern Tube Lube Oil Seal Fwd;
269.101.43;Tank - Stern Tube Lube Oil Seal Aft;
269.101.46;Tank - Stern Tube Lube Oil Sump Stbd;
269.101.47;Tank - Stern Tube Lube Oil Sump Port;
269.101.48;Tank - Stern Tube Lube Oil Sump Center;
269.101.51;Tank - Stern Tube Lube Oil Gravity;
269.101.52;Tank - Stern Tube Lube Oil Gravity Fwd;
269.101.53;Tank - Stern Tube Lube Oil Gravity Aft;
269.101.56;Tank - Stern Tube Lube Oil Collect Stbd;
269.101.57;Tank - Stern Tube Lube Oil Collect Port;
269.101.58;Tank - Stern Tube Lube Oil Collect Center;
269.101.61;Tank - Lube Oil Sludge;
269.101.64;Tank - Lube Oil Deaeration;
269.101.66;Tank - AE Lube Oil Settling;
269.101.69;Tank - Drain Inspection;
269.101.71;Tank - AE Purified Lube Oil;
269.101.73;Tank - Purified Lube Oil
269.101.76;Tank - Turbo Lube Oil Gravity;
269.101.81;Tank - Stern Tube Lube Oil Drain;
269.101.86;Tank - Camshaft Lube Oil;
269.101.91;Tank - Renovating Lube Oil;
